Marca temporal,Fecha,Especie observada,Grupo,Transecto encontrado,Comportamiento observado,Notas,Observadores,Evidencia,Etapa,Hora,Microhabitat,Columna 12
23/8/2026 15:30:24,26/6/2025,Holcosus festivos ,Reptil,Transecto 1 (Sendero pricipal),Activo,Especie común durante el día y activa con un color característico en su cola ,Adrián Quedada y Kevin Salas,https://drive.google.com/open?id=1DEYShHo5BQtCyK0O0rSyoleenGZSAeXA,Adulto,1:28:00 p.m.,Hojarasca,
23/8/2026 15:35:48,26/6/2025,Anolis oxylophus,Reptil,Transecto 3 (Naciente la Clarita),Inmóvil,Especie relativamente común y diurna ,Adrián Quedada y Kevin Salas ,https://drive.google.com/open?id=1pw0bxGpBnde_uulEafegvzgbqr6WMHDp,Adulto,2:05:00 a.m.,Borde de agua,
23/8/2026 15:40:09,26/6/2025,Incilius valliceps,Anfibio,Transecto 1 (Sendero pricipal),Activo,Sapo de la familia Bufonidae abundante en esta zona de la reserva,Adrián Quedada y Kevin Salas ,https://drive.google.com/open?id=1zAm7h-xqH7iROOnXt1WtjvUuCBVY9ADB,Adulto,3:45:00 p.m.,Hojarasca,
24/8/2026 11:05:45,4/6/2025,Imantodes cenchoa,Reptil,Transecto 1 (Sendero pricipal),Activo,Fue la primera serpiente captada por nosotros en el proyecto. Representa la alegria de un inicio,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1BNheUZC6Z0MQZYr4JznXuIRxfrqOI4iv,Adulto,8:12:00 p.m.,Suelo desnudo,
24/8/2026 11:15:37,2/7/2025,Dendropsophus ebraccatus,Anfibio,Transecto 1 (Sendero pricipal),Inmóvil,Encontrada en un mantel del rancho de la reserva con un morfo y patrones espectaculares,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1jdDgznBqAVVMjaF9ukrNDZrPKSgqqGeN,Adulto,8:56:00 p.m.,Vegetación baja,
24/8/2026 11:28:49,10/7/2025,Clelia clelia,Reptil,Transecto 1 (Sendero pricipal),Activo,"Serpiente tambien llamada vivora de sangre, pero cuando crece su color cambia a negro llamandose zopilota",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1jzJ3U8UaBkdJot0OZUuyV63Pj6LxOX8J,Juvenil,8:19:00 a.m.,Hojarasca,
24/8/2026 11:31:59,8/7/2025,Smilisca phaeota,Anfibio,Transecto 1 (Sendero pricipal),Inmóvil,"La primera Smilisca que se aprendio a identificar, debido a su labio superior blanco",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1jtljnjtrOmmLbsur6h7kgKPljCdeUZId,Adulto,8:42:00 a.m.,Vegetación baja,
24/8/2026 11:35:10,8/7/2025,Bothriechis nigroadspersus,Reptil,Transecto 1 (Sendero pricipal),Inmóvil,"La primera vivora real que vimos, por cierto fueron dos especies vistas el mismo dia",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=17lb1NMw0rTt4d_3owm4ZOEJnQUoJ46Wh,Adulto,12:15:00 p.m.,Tronco caído,
24/8/2026 11:36:54,8/7/2025,Bothriechis nigroadspersus,Reptil,Transecto 1 (Sendero pricipal),Inmóvil,Estaba tres metros encima de un arbol de canela,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1q0N-DhH0JNv-lPo519QvVzG5_aNs-_qi,Adulto,2:47:00 p.m.,Tronco caído,
24/8/2026 11:53:29,8/7/2025,leptophis ahaetulla,Reptil,Transecto 1 (Sendero pricipal),Activo,"Estaba bajando de un arbol, super precioso su color con el contacto con la luz",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1tlBtbQOghw6AwzZfsi2juWTkKY2Oxk_l,Adulto,3:15:00 p.m.,Tronco caído,
24/8/2026 12:02:39,8/7/2025,Micrurus mosquitensis,Reptil,Transecto 1 (Sendero pricipal),Activo,Primer Elapido visto,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=13m9Lw3ouGNZnKNg-nzw9QE0MUN3JOW4T,Adulto,3:24:00 p.m.,Suelo desnudo,
24/8/2026 12:22:30,8/7/2025,Agalychnis callidryas,Anfibio,Transecto 1 (Sendero pricipal),Inmóvil,Se caracteriza de otras por ese color fuerte en sus ojos,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1EjqPbgT9NH8aatbATYNTzMtEch3SshoL,Adulto,3:34:00 p.m.,Vegetación baja,
24/8/2026 12:46:49,22/8/2025,Craugastor crassidigitus,Anfibio,Transecto 3 (Naciente la Clarita),Activo,Primera especie del genero Craugastor identificada,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1wEq1IlSLx5epY3SBalLVWfEZ9BwuhiqG,Adulto,8:50:00 p.m.,Roca,
